sigma_y,sequence_id,grip_index,midpoint_x,midpoint_z,angle_deg,target_gap,gripper_rate,actual_gap_f29,compression_RMS,residual_RMS,normalized_residual,recovery_ratio,max_disp_f29,max_step_disp,min_finger_clearance,finger_pin_distance,analytic_pin_distance,both_fingers_contact,one_finger_contact,first_contact_frame,max_contact_particles,width_margin,height_ratio_f39,height_ratio_vs_episode_initial,quality_class
500.0,4,1,0.5287526896226352,0.5237098703365798,47.89094142311672,0.10424391357989077,0.010095934773668488,0.1042439135799009,0.010621087898651035,0.008213181707923208,0.7732900608953955,0.22670993910460446,0.058506320640092715,0.011356770290822367,-0.009700706134478168,0.032436411622714954,0.03243641162271183,True,False,"[23, 26]","[326, 224]",0.06709431056768106,1.011283021349562,1.186840794280062,TOO_WEAK
500.0,4,2,0.5241545283933698,0.5180375015544612,117.16148541356947,0.11302226938541263,0.009949628843576456,0.1130222693853985,0.03525873153699992,0.03187695033665714,0.9040867026996138,0.09591329730038622,0.11661257247791766,0.012863135318074087,-0.01674417601022663,0.005607470897751397,0.005607470897745999,True,False,"[21, 16]","[576, 800]",0.23166665097281589,1.0485628655542523,1.2444771842069868,GOOD
500.0,4,3,0.5055435334773704,0.4908037983032828,4.45853623028307,0.12661205532864872,0.00972313241118919,0.12661205532865932,0.026727419646699068,0.02223935225617595,0.8320800342925205,0.16791996570747947,0.087605601599042,0.011723882029154127,-0.010827915458236963,0.03243768905060609,0.032437689050611375,True,False,"[21, 21]","[620, 514]",0.17928935418509884,1.046838339704982,1.3027664293159733,GOOD
500.0,4,4,0.5080250363008868,0.5173812548299259,0.8440241997663548,0.07672730814100365,0.010554544864316607,0.07672730814102838,0.02414311996110026,0.022104159508641443,0.915546936114967,0.08445306388503304,0.088955122593741,0.013963943087829757,-0.010634998643534073,0.007594125951036583,0.007594125951039692,True,False,"[23, 20]","[681, 606]",0.1377392740016665,1.0416126438582534,1.3569779847695873,GOOD
30.0,0,0,0.49506391044688197,0.4724993045209153,171.42921255228464,0.07067678262361633,0.01065538695627306,0.07067678262362778,0.02719779661161071,0.03945586353380303,1.4507007349617198,-0.4507007349617198,0.08978206801703996,0.010410869539344439,-0.011516867388636207,0.0061060105457013195,0.006106010545688635,True,False,"[21, 22]","[481, 448]",0.17667143644755717,1.1283374378967943,1.1283374378967943,GOOD
30.0,0,1,0.4750180785761658,0.5282152066390036,142.66491845628934,0.08051210913850157,0.010491464847691642,0.08051210913848106,0.027118663702951348,0.03470917540639567,1.279899916404002,-0.2798999164040019,0.1351002286121971,0.010287028028945397,-0.014380788098438381,0.020662283489202966,0.020662283489202522,True,False,"[16, 27]","[597, 91]",0.15532329163627476,1.053944742921713,1.1892053109130813,GOOD
30.0,0,2,0.48333649642413257,0.49176816928465616,44.621815916433725,0.10210033765555031,0.010131661039074162,0.10210033765551879,0.04624095607023185,0.054215790517978174,1.1724625770201196,-0.17246257702011958,0.15736385089161534,0.010180556225463778,-0.014767231880933783,0.02167035748763433,0.0216703574876373,True,False,"[12, 14]","[527, 590]",0.29787901185619,0.9968658743561731,1.1854781920523736,GOOD
30.0,0,3,0.5152109450185506,0.49732576506814036,112.98344250218018,0.1070508584078984,0.010049152359868361,0.10705085840791007,0.037504512375951406,0.04560228670672342,1.2159146678031325,-0.2159146678031325,0.1568397419776812,0.010934092485713679,-0.014684871597053298,0.026231808097229505,0.0262318080972229,True,False,"[18, 13]","[240, 451]",0.29829039312558436,1.0343600058232645,1.2262112296346461,GOOD
30.0,0,4,0.49568638353316335,0.507668014955491,155.57025490603073,0.1289690606551085,0.009683848989081527,0.1289690606551211,0.022167031899571678,0.02838857909973026,1.2806666778098874,-0.2806666778098874,0.08973102411998092,0.009377466106554705,-0.014551966348807628,0.03908118960317867,0.03908118960317775,True,False,"[21, 19]","[301, 245]",0.15705750988450617,1.004619229889345,1.231875381197225,GOOD
30.0,1,0,0.5105284057222663,0.5238459453050804,151.3930816491546,0.12635406665808527,0.009727432222365247,0.1263540666581197,0.02110598556535459,0.025870660840007432,1.2257499541965973,-0.22574995419659727,0.08769045068636712,0.009389634855180393,-0.01199001629606667,0.018948047146102952,0.018948047146106838,True,False,"[23, 20]","[337, 481]",0.1636271000564304,1.1326227281803039,1.1326227281803039,GOOD
30.0,1,1,0.5001237047829932,0.4949687208449459,125.84171546405081,0.07903171810914861,0.01051613803151419,0.07903171810916465,0.030130692603176627,0.038565335693071336,1.2799352540938755,-0.27993525409387554,0.12512536311307373,0.01163893342324401,-0.013754942123022869,0.01056736266723534,0.010567362667217271,True,False,"[18, 18]","[599, 535]",0.24506426167614054,1.0637402351441416,1.2048163672041157,GOOD
30.0,1,2,0.5109291032655832,0.4890380438272712,112.35155622083498,0.08677427776938813,0.010387095370510198,0.08677427776939639,0.010714239820760037,0.01416065601371681,1.3216668891692116,-0.3216668891692116,0.09109023958588713,0.010825629833467831,-0.010112677259442468,0.013632565910701631,0.013632565910697649,True,False,"[21, 21]","[104, 313]",0.07655731845374643,0.9926264002607836,1.1959325335530957,TOO_WEAK
30.0,1,3,0.5099742891256476,0.4890589095200625,55.90525648893087,0.09978669658510389,0.010170221723581603,0.09978669658509318,0.0431643284295002,0.05188619004948858,1.202061793553297,-0.2020617935532969,0.1485448778242376,0.010016917805504575,-0.013335612353942948,0.010269861426287254,0.010269861426314954,True,False,"[14, 18]","[551, 458]",0.2751005662911744,1.0197908347638358,1.2196010367133405,GOOD
30.0,1,4,0.5012677713571877,0.5221143669579419,118.71308513616324,0.118424692227762,0.009859588462870635,0.11842469222774549,0.020209480731480097,0.028344585992821622,1.4025390542899776,-0.4025390542899776,0.08921643896401302,0.009535122296351794,-0.01350890033974824,0.014743741827368033,0.01474374182736151,True,False,"[20, 20]","[282, 156]",0.17264530101082662,1.009727018752377,1.2314641188678697,GOOD
30.0,2,0,0.47345081548875434,0.5076199204167405,169.55888408393318,0.11019319110428154,0.009996780148261974,0.11019319110429046,0.02206779689319665,0.028246202106495404,1.279973811758414,-0.27997381175841407,0.09360951632699951,0.009706262361756115,-0.012202271465793696,0.006365846162104789,0.0063658461621012505,True,False,"[20, 25]","[506, 195]",0.13550222398526007,1.1329452814207406,1.1329452814207406,GOOD
30.0,2,1,0.49498217842468384,0.5222724439269998,162.07724885577832,0.12517601937719097,0.009747066343713483,0.12517601937717884,0.003984739445316257,0.005339891216897102,1.3400854159168971,-0.3400854159168971,0.04436491885742623,0.009022177099278666,-0.00651479579642518,0.03793017559773985,0.03793017559773667,True,False,"[25, 27]","[71, 72]",-0.01833789496514414,0.9932139489593589,1.125257056914766,TOO_WEAK
