sequence_id,grip_index,gap_quantile,midpoint_x,midpoint_z,angle_deg,target_gap,actual_gap_f29,compression_RMS,residual_RMS,normalized_residual,max_disp_f29,min_finger_clearance,finger_pin_distance,analytic_pin_distance,both_fingers_contact,first_contact_frame,max_contact_particles,height_ratio_f39,height_ratio_vs_episode_initial,max_step_disp,quality_class
2,0,3,0.5155952188824033,0.5235838392772658,144.7465740507717,0.11221675027576786,0.11221675027577474,0.029546759104731198,0.02719318263270846,0.9203440057950087,0.10824274583289435,-0.01783323035341542,0.005461132042037985,0.005461132042026091,True,"[21, 17]","[550, 873]",1.1637028572326056,1.1637028572326056,0.012487796753436326,GOOD
2,1,4,0.47726016019191014,0.5172326669955658,2.7185875453693735,0.12656087351744405,0.12656087351743328,0.023145463908414498,0.02322985387303355,1.0036460692666598,0.07933845323656064,-0.011437293895360696,0.016271049751078147,0.016271049751083573,True,"[25, 21]","[309, 611]",1.0146160863638494,1.180711638695776,0.013815299878695493,GOOD
2,2,0,0.4877300629433221,0.5221653054407153,165.42010564085865,0.08112403083347343,0.08112403083349393,0.015849746899698612,0.015229282413637385,0.960853350530599,0.07108544903321834,-0.012753284774481476,0.01297866887115156,0.012978668871133088,True,"[22, 24]","[459, 419]",1.0482710260853332,1.237705801006516,0.01667957186090849,TOO_WEAK
2,3,1,0.5163679977963548,0.5131902986323779,1.861434644120296,0.09672059256526787,0.09672059256524446,0.01576902940646433,0.029010845724351423,1.8397356601071948,0.04331246668586496,-0.0072534372752390205,0.00863467301106021,0.008634673011064457,True,"[24, 29]","[456, 1]",1.0223076682486494,1.2653161314047983,0.019309460874086307,TOO_WEAK
2,4,2,0.4865945370769259,0.518725773264659,179.7135801590843,0.1069891078522735,0.10698910785228738,0.007314063325958837,0.016645782572385404,2.275859782797714,0.01894146451179,-0.00608254139996936,0.017231192674662825,0.01723119267464738,False,"[27, None]","[166, 0]",0.999433215170847,1.2645989694174358,0.012827960325607632,INVALID_GEOMETRY
3,0,2,0.4868425664265377,0.5156549600504716,20.342461677743742,0.10209485474006495,0.1020948547400772,0.023861738608095432,0.022356330481683197,0.9369112137578481,0.08875770757442732,-0.016707730974427574,0.008918031909156958,0.008918031909154016,True,"[23, 20]","[540, 717]",1.1338192207439528,1.1338192207439528,0.012926779282006692,GOOD
3,1,3,0.5148630421894308,0.4913935808036984,13.931217714273696,0.10992741627736594,0.10992741627738259,0.01754923743040407,0.015752182113067534,0.8975992361797366,0.06286700942169918,-0.012581196415453091,0.013602269328588844,0.01360226932859012,True,"[22, 27]","[499, 90]",1.0278638102323499,1.1654117443485532,0.015424843799503096,TOO_WEAK
3,2,4,0.48055092978881625,0.5040619511660401,85.04247877176665,0.12441394499019454,0.12441394499022584,0.026011582444552817,0.02270812280678936,0.8730004356787894,0.08644504047869284,-0.014053142159096966,0.033247504969166376,0.03324750496916715,True,"[22, 20]","[489, 597]",1.0607948190971266,1.2362627405198903,0.011397973652268233,GOOD
3,3,0,0.5112403962106257,0.49090358458032235,107.34265729765897,0.07709801190408426,0.07709801190407875,0.03260196919137487,0.030420316633720836,0.9330821845500299,0.11253393510685374,-0.011950397722283783,0.00936317543361729,0.009363175433611627,True,"[18, 22]","[836, 538]",1.0217419018611793,1.2631414436989064,0.011786249661525366,GOOD
3,4,1,0.4925350485133295,0.5160913440674441,1.1763126369555459,0.08630714415873904,0.08630714415875301,0.03176118659567295,0.027735840706435,0.8732621063412551,0.12168024866186714,-0.012108492377527202,0.011924482335908433,0.011924482335901883,True,"[22, 17]","[517, 798]",1.0437560709106455,1.3184115502795706,0.01359639547520168,GOOD
4,0,1,0.5053355111060625,0.5052539767538835,10.470814844854916,0.09197192735944945,0.0919719273594356,0.02312015878979278,0.021279114111150944,0.9203705867515654,0.07915905778264759,-0.01464951874341159,0.01691101494434432,0.016911014944331372,True,"[22, 22]","[647, 577]",1.120713511874753,1.120713511874753,0.017436805038779236,GOOD
4,1,2,0.5158793973354956,0.5080717292773208,171.0317572589253,0.09958266445365843,0.09958266445366401,0.020152572913505015,0.023545257850833883,1.1683499646367883,0.0713160989823937,-0.01174246431291874,0.008041667234020465,0.008041667234018647,True,"[25, 22]","[225, 474]",1.0411079344059642,1.1667837294087784,0.017447736614278685,GOOD
4,2,3,0.48122875965246725,0.4954971088006162,155.69411595158135,0.11184771732255261,0.1118477173225296,0.02665251307235859,0.03069505570668096,1.1516758522300437,0.06863347810584376,-0.011247257374501607,0.012043074386121892,0.012043074386147205,True,"[21, 27]","[435, 38]",1.0088406330774693,1.1770988362412427,0.016139835843012398,GOOD
4,3,4,0.5266556143899171,0.5111156834851107,63.500465841786685,0.12000264503980451,0.12000264503983218,0.03134245466556949,0.028818912564995136,0.9194848607902262,0.09185040454477224,-0.011363046629504894,0.03700826759925,0.03700826759923872,True,"[20, 20]","[608, 576]",1.0450333532946636,1.2301075439964317,0.013699707311525285,GOOD
4,4,0,0.5146331043964234,0.4972577884813599,96.22600224020691,0.07605847029570968,0.07605847029569421,0.03497775459426295,0.03249565884173234,0.929037876178086,0.1150049913345018,-0.014488441420672474,0.013224690826403755,0.013224690826409875,True,"[20, 18]","[662, 782]",1.0659689676116892,1.311256468725227,0.013761963436860909,GOOD
