action_id,midpoint_x,midpoint_z,angle,angle_deg,target_gap,gripper_rate,actual_gap_f29,offset_along_axis,offset_perp_axis,compression_RMS,residual_RMS,normalized_residual,max_disp_f29,max_disp_f39,min_finger_clearance,finger_pin_distance,both_fingers_contact,first_contact_frame,height_ratio_f39,quality_class
10,0.4896460672939919,0.4990561203537539,2.1246730469921387,121.73479843785037,0.19018996774700625,0.008663500537549896,0.1901899677470261,0.006248809286740294,0.00830946531162445,0.012675383246250222,0.008613273434633579,0.67952765350757,0.048830362474003616,0.04085825527378726,-0.011495612119337181,0.06410386148535377,True,"[23, 24]",1.08837855436429,TOO_WEAK
11,0.4164528198101009,0.47965341944612416,2.2495083019397866,128.88733168079023,0.07363307409994861,0.010606115431667526,0.07363307409996109,0.0682875768161433,0.05225821954963788,0.042725423364402874,0.03675142202495572,0.8601768954166886,0.14400396836158447,0.13341275352473178,-0.022403978829583674,-0.016018945216780614,True,"[15, 24]",1.1516096086697907,PIN_COLLISION
12,0.5460932166119007,0.4436625417404029,2.26487795714524,129.767948056634,0.13109086650179483,0.009648485558303421,0.13109086650180993,0.013818407613920107,0.07146709334931005,0.01215017701115604,0.0096944381924092,0.7978845232878474,0.06364483716097724,0.04815049924255347,-0.012952887897389846,0.05026496963113423,True,"[22, 26]",1.1053729602270925,TOO_WEAK
13,0.5880808622934246,0.4050110747118098,0.3926092178991316,22.49485118355234,0.16756251000306793,0.0090406248332822,0.1675625100030855,0.11772193611990511,0.054061816339627214,0.04689270072188457,0.03698502077817448,0.7887159453137185,0.14018081113393036,0.12399191120151125,-0.022087923108823623,-0.01481858537455922,False,"[13, None]",1.1458184146664865,PIN_COLLISION
14,0.5942682232735416,0.4081559433641322,0.4769181352697413,27.325396324205467,0.09249803345914166,0.010291699442347639,0.09249803345916094,0.12590960207032612,0.03832232723850301,0.07027195714590828,0.058368985407112495,0.8306156221879347,0.19258926354541597,0.17033292338259462,-0.035047076152497615,-0.031491161054826966,True,"[10, 27]",1.159717415203006,PIN_COLLISION
15,0.5107114948342693,0.44408430141777555,1.2761507624256423,73.1180527093915,0.14881502386059386,0.00935308293565677,0.14881502386058074,0.05661664453854134,0.0059880740408925996,0.030992830574595405,0.026163744631391154,0.8441869989389541,0.10594865713962043,0.09207008159131727,-0.01839786432085717,-0.00692425142317981,True,"[18, 29]",1.1290151259559316,PIN_COLLISION
16,0.530153585519509,0.543246349610987,1.3608139125849505,77.9688938938022,0.1298322523568406,0.009669462460719324,0.12983225235685064,-0.03601113060870215,0.03850563525824561,0.027341856763541672,0.024515368425085688,0.8966241260460082,0.09940417358679365,0.09248023332030164,-0.016692848686918615,0.0133344605598592,True,"[27, 19]",1.144358123770892,GOOD
17,0.5047650107203396,0.5542975789930312,1.6989536041520499,97.34287110645239,0.12740499321527565,0.009709916779745408,0.12740499321530474,-0.05446128996095859,0.0022136638086686076,0.030771246152831087,0.02725605989445174,0.8857639290615491,0.10544903925609724,0.09412349382913403,-0.019845719733253716,-0.015713640700953255,True,"[27, 18]",1.144088069669597,PIN_COLLISION
18,0.4798402836681047,0.5074160362853674,2.5164603038964968,144.18255472547781,0.13501598025014067,0.00958306699583099,0.13501598025015404,0.0120073266476494,0.017811116291378798,0.025288805855213044,0.022874428128976797,0.9045278080721021,0.10277632862820173,0.09718167610104042,-0.018623066613166074,0.03206673906297102,True,"[18, 22]",1.1704746475961942,GOOD
19,0.4372720127914491,0.5084508679668914,0.7933534186266256,45.455802549581236,0.067392374526099,0.010710127091231684,0.06739237452610597,-0.05002414131195391,0.038778896769140064,0.03943683233197971,0.03557094345568621,0.9019726319865043,0.14583438156780257,0.13787009730593253,-0.022952248278185938,-0.021772528019261918,True,"[22, 14]",1.1682758638888493,PIN_COLLISION
